Município,Eficiência CRS,Eficiência VRS,COD_MUN,Escala de Eficiência,gasto_per_capita,ideb_2019
Prefeitura Municipal de Jaragu· do Sul - SC,1.000000008,1.0,4208906,1.000000008,82.0752932394722,7.2
Prefeitura Municipal de S„o JosÈ - SC,0.29116663800000003,0.29948568,4216602,0.9722222378044922,274.0541449900588,7.0
Prefeitura Municipal de Benedito Novo - SC,0.2582841969,0.32625372,4202206,0.7916666724903549,251.56890942217595,5.7
Prefeitura Municipal de Herval d'Oeste - SC,0.2571103015,0.2847991,4206702,0.9027777879213804,288.1866312513892,6.5
Prefeitura Municipal de Maravilha - SC,0.2405558004,0.29862099,4210506,0.8055555652668622,274.84770105893006,5.8
Prefeitura Municipal de Gr„o Par· - SC,0.23957221760000003,0.26951875,4206108,0.8888888717389793,304.5253592173647,6.4
Prefeitura Municipal de Tubar„o - SC,0.236320246,0.29336307,4218707,0.805555539079953,279.77377712341695,5.8
Prefeitura Municipal de S„o Carlos - SC,0.2275360128,0.22753601,4216008,1.0000000123057444,360.7134223929944,7.2
Prefeitura Municipal de Mafra - SC,0.22691725000000001,0.2334006,4210100,0.9722222222222222,351.64988539193456,7.0
Prefeitura Municipal de TimbÛ - SC,0.220707935,0.22701388,4218202,0.9722222050916005,361.5430625057492,7.0
Prefeitura Municipal de Caibi - SC,0.2187930249,0.22187462,4203105,0.9861110968888646,369.9174477055294,7.1
Prefeitura Municipal de S„o Miguel do Oeste - SC,0.21869638320000004,0.22820492,4217204,0.9583333400524408,359.6561025193315,6.9
Prefeitura Municipal de S„o Martinho - SC,0.21511332049999998,0.23827937,4217105,0.9027777792932724,344.4498526183757,6.5
Prefeitura Municipal de Ituporanga - SC,0.21216502299999998,0.24638519,4208500,0.8611111041211527,333.11780630340155,6.2
Prefeitura Municipal de Ascurra - SC,0.20958998939999998,0.24339483,4201703,0.8611110983746039,337.21050957028774,6.2
Prefeitura Municipal de Blumenau - SC,0.20764031360000001,0.23359536,4202404,0.8888888614910845,351.3566994268853,6.4
Prefeitura Municipal de Porto Uni„o - SC,0.20702367630000001,0.28123971,4213609,0.7361111142519668,291.8339418439716,5.3
Prefeitura Municipal de Brusque - SC,0.20549968000000002,0.23118714,4202909,0.888888888888889,355.0166942286812,6.4
Prefeitura Municipal de Salete - SC,0.20331381199999998,0.22520915,4215307,0.9027777601398521,364.4403173354314,6.5
Prefeitura Municipal de Seara - SC,0.2030342256,0.20303422,4217501,1.0000000275815575,404.24363646749686,7.2
